Gender,Country,SubscriptionType,ContractType,TenureMonths,MonthlyCharge,SupportTickets,DaysSinceLastLogin,PaymentFailures,Churn
Male,Egypt,Premium,Monthly,7,89.4,2,25,1,1
Female,USA,Free,Monthly,51,4.77,1,21,1,0
Male,India,Free,Monthly,65,3.48,3,80,0,1
Male,UK,Free,Monthly,9,13.18,1,60,1,0
Male,UK,Basic,Monthly,45,39.53,0,0,0,1
Female,Egypt,Free,Monthly,47,3.45,0,2,1,0
Male,Canada,Basic,Annual,67,32.11,0,32,2,0
Male,India,Premium,Monthly,24,97.12,2,25,1,1
Male,UK,Free,Monthly,10,9.23,0,36,1,1
Female,Egypt,Free,Monthly,48,1.51,1,7,0,0
Male,UK,Free,Annual,35,8.81,1,42,0,0
Male,India,Basic,Monthly,54,23.6,0,13,0,0
Male,India,Basic,Monthly,71,47.68,3,7,0,0
Male,Germany,Free,Annual,16,3.14,0,0,2,1
Female,USA,Basic,Annual,53,40.65,1,45,0,0
Male,USA,Free,Monthly,40,2.34,1,17,1,1
Female,Egypt,Premium,Monthly,20,85.51,2,81,2,1
Female,India,Premium,Monthly,69,65.96,0,28,0,0
Female,Germany,Free,Annual,45,11.05,1,2,0,0
Male,Germany,Basic,Monthly,6,22.33,2,20,0,0
Female,UK,Premium,Monthly,69,72.28,0,0,0,1
Male,UK,Premium,Monthly,49,95.39,1,18,1,0
Female,Germany,Basic,Monthly,39,31.2,3,9,0,0
Female,UK,Premium,Annual,2,59.8,4,23,1,1
Female,India,Basic,Monthly,39,34.7,2,17,0,0
Female,Canada,Premium,Monthly,21,55.27,4,7,1,1
Female,India,Premium,Monthly,40,52.59,4,4,0,0
Female,Germany,Basic,Monthly,54,32.93,0,11,0,0
Female,Germany,Premium,Monthly,12,85.05,1,95,0,1
Female,India,Free,Annual,37,8.76,1,13,0,0
Male,UK,Premium,Annual,38,87.62,0,30,0,1
Male,UK,Free,Annual,15,14.2,1,1,0,0
Female,USA,Premium,Annual,7,52.0,0,10,0,0
Female,Germany,Basic,Annual,50,23.77,0,19,0,0
Female,Egypt,Basic,Monthly,65,34.26,3,31,0,1
Male,USA,Basic,Annual,67,42.53,1,17,0,0
Female,UK,Premium,Annual,44,98.33,2,16,0,0
Male,India,Premium,Annual,31,68.89,1,32,0,1
Male,UK,Premium,Monthly,43,79.49,3,8,0,1
Male,India,Premium,Monthly,48,57.07,1,2,1,1
Male,USA,Basic,Annual,61,49.95,0,9,1,0
Male,Germany,Free,Annual,10,5.21,2,4,0,0
Female,UK,Basic,Annual,29,44.16,0,74,4,1
Female,India,Basic,Monthly,48,44.15,1,19,0,0
Female,Germany,Basic,Monthly,62,47.79,1,13,0,1
Female,Egypt,Free,Monthly,13,6.37,4,53,1,1
Female,India,Basic,Annual,44,28.14,1,51,0,0
Male,USA,Basic,Monthly,47,43.03,4,12,1,1
Female,Egypt,Basic,Monthly,64,36.88,2,46,0,0
Female,Egypt,Basic,Annual,53,36.79,1,1,0,0
Male,Canada,Premium,Monthly,44,95.97,2,48,0,1
Female,UK,Premium,Annual,28,52.97,2,8,2,1
Male,India,Premium,Monthly,2,70.08,1,18,0,1
Female,Egypt,Free,Annual,57,6.56,2,7,1,0
Male,Canada,Basic,Monthly,57,26.31,3,92,0,1
Female,USA,Premium,Annual,34,75.68,1,2,0,1
Female,Germany,Basic,Annual,58,24.67,2,13,0,0
Male,India,Basic,Monthly,52,43.07,3,21,0,1
Male,Egypt,Basic,Monthly,29,41.56,1,21,0,0
Male,UK,Basic,Monthly,35,21.38,2,30,0,1
Male,Canada,Basic,Annual,48,26.1,1,28,0,0
Male,Egypt,Free,Annual,33,3.85,0,35,0,1
Male,UK,Free,Monthly,9,0.8,0,6,1,1
Male,Egypt,Basic,Annual,48,44.7,4,10,0,1
Male,India,Basic,Monthly,67,43.55,1,11,0,1
Female,India,Premium,Annual,36,81.62,1,69,0,0
Female,India,Basic,Annual,71,36.89,0,12,1,0
Male,USA,Basic,Monthly,44,30.56,1,6,1,1
Female,USA,Premium,Monthly,60,98.53,1,22,1,1
Female,Canada,Basic,Monthly,63,22.67,2,12,1,0
Female,India,Basic,Monthly,5,20.29,1,6,0,0
Female,UK,Free,Monthly,40,2.63,0,28,0,0
Male,Egypt,Basic,Monthly,19,32.23,1,5,0,1
Female,Germany,Free,Monthly,47,14.63,0,22,0,0
Male,UK,Premium,Monthly,65,59.63,0,12,1,1
Female,USA,Basic,Monthly,67,38.46,1,8,0,0
Female,USA,Free,Monthly,18,14.01,1,64,0,1
Female,UK,Free,Monthly,50,13.41,4,9,1,1
Male,USA,Basic,Annual,30,36.39,2,9,0,0
Female,India,Free,Annual,66,10.77,2,45,0,0
Male,Canada,Basic,Monthly,5,48.03,3,3,2,1
Female,Egypt,Free,Monthly,42,9.32,2,3,0,1
Male,Canada,Basic,Annual,5,46.35,3,7,0,1
Female,Egypt,Free,Annual,50,12.93,2,20,0,1
Male,Egypt,Basic,Monthly,58,44.18,1,11,1,0
Male,Canada,Premium,Monthly,8,50.98,1,21,0,1
Female,UK,Basic,Monthly,31,28.78,0,4,0,1
Male,Egypt,Free,Monthly,12,10.17,2,7,0,1
Female,Canada,Free,Monthly,21,8.25,3,18,1,1
Female,Egypt,Premium,Monthly,62,57.28,0,5,0,0
Female,Germany,Free,Annual,33,2.53,2,12,1,0
Female,UK,Free,Monthly,26,7.0,1,19,0,0
Female,India,Premium,Monthly,40,54.68,2,80,0,1
Female,Egypt,Premium,Monthly,65,69.99,0,2,0,1
Female,Germany,Basic,Monthly,59,49.09,1,14,1,1
Female,India,Free,Monthly,15,6.98,1,11,0,1
Female,India,Premium,Monthly,1,68.22,2,38,1,1
Female,Egypt,Premium,Annual,11,57.35,3,51,1,1
Female,Canada,Premium,Monthly,55,67.48,0,52,0,1
Male,Egypt,Free,Annual,2,5.33,0,10,0,0
Male,Germany,Basic,Annual,65,35.75,1,8,0,0
Female,India,Free,Monthly,44,2.64,3,13,0,0
Female,Egypt,Premium,Monthly,16,51.27,1,9,0,1
Female,Canada,Free,Monthly,22,1.01,0,28,0,0
Female,Egypt,Free,Annual,18,0.49,1,5,0,1
Female,UK,Premium,Annual,47,53.32,4,24,0,0
Female,Canada,Free,Annual,30,9.29,1,58,0,0
Female,Germany,Premium,Monthly,10,94.05,1,7,0,1
Female,India,Free,Annual,58,11.43,1,25,0,0
Male,Egypt,Basic,Monthly,62,46.77,3,3,0,1
Female,Canada,Free,Monthly,6,14.04,1,3,1,1
Male,UK,Premium,Monthly,67,59.38,3,3,0,0
Female,Canada,Basic,Monthly,41,47.36,6,3,0,1
Female,USA,Basic,Annual,43,41.38,1,5,0,1
Male,UK,Premium,Monthly,18,90.78,4,18,1,1
Female,Germany,Basic,Monthly,58,21.97,0,32,0,0
Male,India,Free,Monthly,60,1.23,0,3,0,0
Female,Germany,Free,Annual,27,9.25,1,45,1,0
Female,Egypt,Free,Annual,68,0.14,0,41,0,0
Male,Canada,Free,Monthly,22,11.64,1,29,0,1
Female,USA,Basic,Monthly,24,29.8,0,12,0,1
Male,UK,Free,Monthly,40,3.19,0,0,0,0
Female,UK,Free,Annual,66,5.62,1,29,0,0
Male,Canada,Free,Monthly,40,0.12,1,46,0,0
Male,USA,Basic,Monthly,6,49.01,5,9,0,1
Female,Canada,Free,Monthly,18,4.84,2,28,0,1
Female,Egypt,Basic,Monthly,30,30.88,2,1,0,1
Male,Germany,Basic,Annual,21,48.07,4,27,0,1
Female,UK,Basic,Monthly,62,36.97,1,2,0,0
Female,Egypt,Basic,Monthly,10,23.85,1,19,0,1
Female,Germany,Premium,Monthly,13,99.66,1,20,0,1
Male,Egypt,Basic,Monthly,9,39.61,1,8,0,1
Male,USA,Premium,Annual,68,58.8,2,2,0,0
Male,UK,Premium,Monthly,39,73.6,1,66,1,1
Male,Canada,Free,Annual,24,6.7,3,17,2,1
Male,Canada,Basic,Annual,34,24.67,1,19,0,0
Male,Germany,Free,Monthly,61,2.53,0,21,0,0
Male,India,Premium,Monthly,41,97.5,1,49,1,1
Male,USA,Free,Monthly,5,9.73,2,1,0,1
Male,Germany,Basic,Annual,50,32.28,3,49,0,1
Female,India,Free,Monthly,4,2.51,2,6,0,1
Male,Egypt,Premium,Monthly,51,75.62,1,2,0,1
Female,USA,Premium,Monthly,52,88.64,1,24,0,1
Female,Egypt,Basic,Annual,39,27.0,4,83,0,0
Female,UK,Free,Monthly,8,1.17,4,1,0,1
Male,USA,Basic,Monthly,45,38.68,2,12,0,0
Male,India,Basic,Monthly,28,24.63,2,17,0,0
Male,UK,Premium,Monthly,27,62.22,1,6,2,1
Male,Canada,Basic,Annual,65,25.32,0,89,0,0
Female,India,Basic,Monthly,34,28.85,2,23,0,1
Male,Germany,Basic,Annual,62,38.46,2,41,0,0
Male,Canada,Premium,Annual,62,75.55,3,12,0,0
Male,Canada,Premium,Monthly,38,52.84,1,10,2,0
Male,Germany,Free,Annual,26,14.79,0,18,0,0
Male,USA,Premium,Monthly,24,54.49,1,13,0,1
Female,Canada,Basic,Monthly,39,42.16,0,28,0,0
Male,India,Free,Annual,21,11.7,2,7,1,1
Female,UK,Free,Monthly,47,5.08,1,13,0,0
Male,Canada,Basic,Annual,48,49.23,1,50,0,1
Female,India,Free,Monthly,13,13.32,2,31,0,1
Male,Egypt,Premium,Annual,3,77.67,4,4,0,1
Male,India,Basic,Monthly,32,31.78,2,48,1,0
Female,UK,Basic,Monthly,35,46.83,1,20,1,1
Female,India,Basic,Monthly,19,45.4,3,25,0,1
Female,Germany,Basic,Annual,14,27.25,5,8,3,1
Male,UK,Premium,Annual,48,54.09,2,13,0,0
Female,USA,Free,Monthly,68,7.44,5,36,0,1
Male,Egypt,Free,Annual,45,6.46,1,9,0,0
Male,Germany,Premium,Monthly,19,81.5,1,4,0,1
Female,USA,Basic,Monthly,64,44.96,2,10,0,0
Female,India,Free,Annual,66,4.68,1,2,1,0
Male,UK,Free,Annual,66,4.62,0,28,1,0
Male,Egypt,Free,Annual,45,4.34,1,4,1,0
Female,Germany,Premium,Annual,67,62.14,1,7,0,0
Female,USA,Premium,Monthly,69,54.26,1,47,0,1
Female,USA,Free,Annual,3,13.33,2,17,2,0
Male,Egypt,Premium,Monthly,38,94.42,3,9,0,1
Male,India,Basic,Monthly,42,33.03,1,17,0,0
Male,Egypt,Basic,Monthly,40,30.06,5,5,0,1
Male,USA,Basic,Monthly,50,30.08,1,1,0,0
Male,Canada,Basic,Monthly,35,36.28,2,20,0,0
Male,Germany,Free,Monthly,24,13.2,3,28,1,1
Female,Egypt,Free,Monthly,17,12.86,2,47,0,1
Male,USA,Premium,Monthly,40,70.85,3,33,0,0
Male,India,Free,Monthly,66,6.93,1,57,1,0
Male,USA,Free,Monthly,44,0.19,3,94,1,0
Female,India,Basic,Monthly,23,20.89,2,30,0,0
Male,Egypt,Basic,Annual,6,31.43,1,45,1,1
Male,India,Free,Annual,66,13.6,0,25,2,0
Female,UK,Free,Annual,21,13.41,0,4,0,0
Male,UK,Premium,Monthly,35,66.95,2,4,3,1
Male,UK,Basic,Annual,29,31.09,1,3,0,0
Male,Canada,Basic,Monthly,7,26.39,2,63,1,1
Male,Egypt,Free,Monthly,53,9.62,0,25,0,1
Male,USA,Basic,Monthly,37,49.43,2,34,0,0
Female,USA,Basic,Annual,23,20.6,3,9,1,0
Female,Canada,Premium,Monthly,8,61.53,4,14,1,1
Female,India,Basic,Monthly,48,30.25,1,1,0,0
Male,Canada,Free,Monthly,10,9.82,0,48,0,1
Male,India,Basic,Annual,24,30.07,2,42,0,1
Male,India,Basic,Annual,47,39.17,2,34,0,0
Female,Germany,Free,Monthly,53,1.93,0,1,1,1
Male,USA,Premium,Monthly,39,87.22,2,4,0,1
Male,UK,Free,Monthly,67,2.67,2,9,0,0
Female,India,Premium,Annual,66,99.98,2,7,0,0
Male,Germany,Basic,Monthly,6,42.97,0,40,0,1
Female,USA,Premium,Annual,21,98.91,2,5,0,1
Female,UK,Basic,Monthly,36,32.96,2,17,0,1
Female,India,Free,Annual,3,3.0,4,19,0,0
Male,India,Free,Monthly,42,14.6,3,12,1,1
Male,Canada,Premium,Monthly,45,85.12,2,6,0,0
Male,Canada,Free,Monthly,44,12.69,1,71,1,1
Male,USA,Basic,Monthly,33,24.56,1,12,0,0
Male,UK,Basic,Monthly,60,24.26,2,29,1,1
Male,India,Premium,Annual,70,55.97,1,4,0,0
Male,USA,Free,Monthly,26,9.75,1,38,0,1
Female,USA,Premium,Annual,21,65.03,1,5,0,1
Male,Egypt,Basic,Annual,2,49.23,1,25,1,0
Female,Canada,Basic,Monthly,47,38.85,3,16,0,0
Male,UK,Basic,Annual,30,33.52,1,3,0,0
Male,India,Premium,Annual,27,62.81,2,1,0,0
Male,USA,Free,Monthly,71,3.39,0,59,0,0
Female,India,Premium,Annual,20,66.88,1,3,2,1
Female,Egypt,Basic,Monthly,50,40.14,1,27,1,0
Female,UK,Free,Monthly,23,7.45,2,23,0,0
Female,USA,Free,Annual,13,5.9,1,9,1,1
Male,India,Basic,Monthly,4,26.42,2,5,0,1
Female,Canada,Premium,Monthly,14,55.02,1,4,1,0
Male,Egypt,Premium,Monthly,20,66.82,2,19,1,0
Male,UK,Premium,Annual,13,74.08,2,17,0,0
Female,Egypt,Premium,Annual,3,83.53,3,46,0,1
Female,Canada,Basic,Monthly,47,40.21,3,22,0,0
Female,UK,Basic,Annual,3,37.16,3,38,1,1
Female,Egypt,Premium,Annual,1,80.43,1,1,0,1
Female,Germany,Basic,Monthly,24,44.78,1,24,0,1
Female,Canada,Premium,Monthly,35,55.68,2,6,1,0
Female,Canada,Premium,Annual,14,87.67,1,6,0,1
Female,Canada,Free,Annual,67,6.31,3,28,1,0
Male,Germany,Premium,Annual,13,57.67,0,35,2,1
Female,Germany,Basic,Monthly,47,24.43,2,10,1,1
Female,India,Basic,Monthly,50,34.21,3,34,1,1
Male,USA,Basic,Monthly,26,43.72,1,13,1,1
Female,Egypt,Free,Monthly,3,8.52,0,43,0,0
Male,India,Basic,Monthly,51,45.11,1,1,1,1
Male,Egypt,Basic,Annual,40,39.32,1,2,0,0
Female,USA,Premium,Monthly,68,96.57,2,33,0,1
Male,Germany,Premium,Annual,36,60.96,2,22,2,1
Male,USA,Basic,Monthly,51,47.78,1,18,0,1
Male,Germany,Free,Monthly,1,9.37,3,21,1,1
Male,USA,Premium,Monthly,33,50.58,0,59,0,1
Female,India,Basic,Monthly,7,41.22,1,23,0,1
Male,UK,Basic,Monthly,52,47.67,2,23,0,0
Female,India,Basic,Annual,11,41.39,1,31,0,0
Male,Egypt,Free,Annual,27,8.27,1,44,1,0
Male,India,Basic,Monthly,14,47.08,1,7,0,0
Male,Canada,Premium,Monthly,46,60.23,2,21,0,1
Male,Egypt,Free,Annual,10,12.36,2,19,0,1
Female,USA,Free,Monthly,24,13.18,0,3,0,1
Female,Egypt,Basic,Monthly,61,31.21,2,16,0,1
Male,UK,Free,Monthly,18,8.12,0,2,1,0
Male,Germany,Free,Annual,9,14.41,0,4,0,1
Female,USA,Premium,Monthly,17,76.83,3,54,0,1
Male,Egypt,Premium,Monthly,58,84.81,1,3,0,1
Male,USA,Free,Annual,13,1.93,2,19,0,0
Male,USA,Premium,Monthly,50,52.02,2,9,0,0
Female,USA,Premium,Monthly,6,62.96,2,18,1,1
Female,Germany,Premium,Monthly,51,65.46,2,6,1,1
Female,India,Basic,Annual,36,43.56,1,13,1,1
Male,USA,Basic,Monthly,71,34.64,2,44,0,0
Male,Canada,Basic,Annual,25,26.49,0,10,1,1
Female,UK,Free,Annual,11,7.99,3,10,0,1
Female,Germany,Free,Monthly,44,9.56,1,13,1,0
Female,Egypt,Free,Annual,14,4.56,2,2,0,0
Female,Germany,Premium,Monthly,29,92.73,2,11,0,0
Male,Egypt,Premium,Monthly,50,78.2,1,0,1,1
Female,Germany,Premium,Monthly,5,82.45,1,15,1,0
Male,Egypt,Basic,Monthly,72,45.66,3,41,0,0
Female,USA,Free,Monthly,69,10.28,0,18,0,0
Male,India,Basic,Monthly,57,35.96,4,21,0,0
Female,Egypt,Basic,Monthly,26,30.69,1,1,0,0
Female,Egypt,Basic,Annual,6,23.73,2,43,0,1
Female,Canada,Basic,Monthly,16,21.5,2,11,0,1
Female,Egypt,Free,Annual,60,5.89,3,81,1,0
Male,Canada,Premium,Monthly,12,72.21,0,3,0,1
Female,UK,Basic,Monthly,3,23.1,0,64,1,1
Male,USA,Premium,Monthly,63,50.63,1,22,0,1
Male,Canada,Free,Monthly,64,12.8,1,1,0,0
Male,India,Basic,Monthly,62,32.01,2,78,0,0
Male,USA,Free,Annual,6,10.36,1,0,0,0
Female,Canada,Basic,Annual,19,30.5,1,29,0,0
Male,USA,Free,Annual,18,10.51,2,48,0,1
Male,USA,Free,Monthly,43,14.04,3,4,0,1
Male,USA,Basic,Annual,3,33.36,3,9,0,1
Female,UK,Basic,Monthly,72,22.75,2,18,0,0
Female,India,Free,Monthly,38,8.56,2,25,0,0
Female,Germany,Premium,Annual,68,95.47,0,45,0,0
Female,Germany,Basic,Annual,44,22.3,1,31,1,0
Male,Canada,Premium,Monthly,63,54.72,2,10,1,0
Male,USA,Free,Monthly,42,12.88,1,38,0,1
Female,Canada,Premium,Monthly,64,66.85,2,74,0,0
Male,UK,Premium,Annual,54,89.75,2,6,0,0
Male,UK,Free,Monthly,71,0.95,1,2,0,0
Male,Egypt,Free,Annual,37,6.37,1,12,0,0
Female,UK,Premium,Monthly,4,75.4,0,47,0,1
Female,Egypt,Free,Monthly,2,4.77,1,4,2,1
Male,India,Basic,Monthly,44,30.96,2,48,0,1
Female,Canada,Basic,Monthly,67,36.28,1,107,0,1
Female,India,Premium,Monthly,68,73.24,0,1,1,0
Female,UK,Premium,Annual,62,92.15,1,15,0,0
Female,India,Basic,Annual,1,34.11,5,9,0,1
Female,India,Free,Annual,17,1.94,3,11,0,1
Male,India,Free,Annual,16,7.67,0,13,0,0
Female,UK,Basic,Annual,9,40.8,1,30,0,1
Male,USA,Premium,Monthly,53,95.78,0,20,2,1
Male,India,Basic,Annual,59,21.03,2,71,0,1
Female,Egypt,Basic,Monthly,9,29.77,2,9,0,1
Male,UK,Free,Monthly,12,12.39,2,17,1,1
Male,India,Premium,Monthly,41,65.84,1,37,0,1
Male,USA,Basic,Monthly,15,20.34,1,10,0,0
Female,UK,Free,Monthly,66,6.92,1,14,0,1
Female,Germany,Free,Annual,11,11.87,0,25,0,1
Male,USA,Basic,Monthly,8,34.78,2,43,0,1
